post,guid
But the video will be uploaded I don't wanna let you guys down on the survival island video You voted and that means i upload,5424
Suicide is the only option for me It's all over I have no chance of fixing this,21559
Waiting for a chick to get thick Is like waiting for a negro to get his act together,24258
Whats the difference between being a cuckold and being a dog You dont lick your own balls,27588
A jew and a muslim fight each other to death Who wins Society wins,3459
IF RUSSIA ATTACKED TURKEY FROM THE REAR WOULD GREECE HELP,35315
Just because Im racist doesnt mean Im southern,15612
What's 11 inches and fucks children Desert Eagle,26455
Minds Eye Everything and Nothing are Samething Staring Beyond,16812
Me maybe someday fire emblem fans will stop yelling at each other abt their shitty waifus Me seeing another thread abt camillas tits huh,16699
I will be a NEET until I die and I will always have this problem I tried hard for 2 years not anymore,12701
Can we stop calling Pakistan a conservative nation Last time when I was there I found a lot of openminded people,5568
Fucked around and messed with you now im playing for it,7592
Since a Democrat got elected in Alabama I guess we can now start fucking our brothers too,20698
I predict that a terrorist will bomb Manhattan NY tomorrow morning,11856
but I am neither a child nor parent so how can this fucking review POSSIBLY gauge what I think,3205
I caught this on youtube I 'm sure someone has posted this at some point on here but it deserves reiteration,10105
Whut Btw Im no Sexist I jus mean same woman barking in da office is same one kneeling or submitting in da bedroom,28318
my mom was chocking up after my grandmas death so i took my dick out her mouth,32848
What is George Bushs favorite sex act An Inside Job,25992
BBC News Marine guilty of attacking Afghan Isn't that what they went there to do in the first place,4809
Like I said if you think we just bombed Syria as retaliation for chemical warfare you're blind Wake up,896
I honestly hope and pray that people know I use emojis ironically and when I sit here and shit tweets out with the laughing emoji Im Not Fr,11085
I may not be British but I signed your petition to leave the EU,11667
Major Blackpills Dropping in Stranger Things 2 I counted 2 betabucks,16465
No worries Legal writing is hard when relaying facts How many dif,3099
If you're upset about the pay gap read The Art of the Deal Pay gaps exist because most women suck at negotiating their wage EqualPayDay,14434
A heartbreak is a blessing from God Its his way of telling that he saved you from the wrong one TANNER StarStudioMag TMI,3449
what 's pink inches long and makes my girlfriend scream when i put it in her mouth her abortion,34009
Eating CIGARETTE BUTTS Kluna Tik NVA Dinner 05,6822
Still downtown with these bitches,21469
Why do people say that fathers aren't needed,28866
Which was my first choice,28132
Bad bitches in dirty ass houses ltltlt,4875
What do kids and scales have in common There isn't always somebody on top of them but when there is it's always bigger than them,25147
Thats it not gonna make a big deal about not having a lover if I do great if I dont fine I get it nopony is perfect,22020
Hey you guys Putrump amp just changed their relationship status to it's complicated LoveIsABattlefield,740
It seriously makes my heart so happy when my friends post pics of four lokos on their snap stories and me in them,15074
4 fat hoes ina caddilac U can tell they jus lost dey luxury car ride virginityhoes too happy lmao,2616
Say something positive about yourself I like to dance,20386
kindred spirit to the typical blokes who candy coated the best years of their lives with the lies they told Then they flocked like geese to the water hole for their halo fot for popes and kings,32575
What's the difference between a Porsche and a pile of dead babies I don't have a Porsche in my garage,26774
Remembrance of things past is not necessarily the remembrance of things as they were,20071
Funny how you say you miss me and want something but you still don't make an effort Sorry but I don't have time for that,7657
Wishing my arena partner was on gtgt Really want to get some PvP happening,29350
You would be luckey to see a real Irish person on the TV these days,30331
It's time for Vs NXTWomensChampion for the NXTWomensTitle NXTTakeOverOrlando NXTTakeOver,15319
how many americans does it take to fill the grand canyon,31670
I hate people who say the stareotype that all rednecks are incestuous is true I'd beat them all up if I wasn't busy taking care of my sonnephew,10782
How to curve tf outta hoes,19348
Best not to leave the house,5048
LynxAxe Find Your Magic advert body positivity for men YEAH,16414
I read a few things about him awhile back and he is far to the left as so many of them are,11883
I hope the next person I fuck with is actually worth it I'm tired of waisting time with temporary people,11104
I always forget how deep my relationship with Matt Lucas goes we may not know one another but that's what makes our love so unique,9754
Fuck niggas get moneythey catch feelings and get ugly,7562
I'm surprised the Montreal flag gives pride of place to the English St Geroge 's cross,13412
The Supreme Court will hear the full travel ban case next month so hopefully this kangaroo court nonsense will be dealt with once and for all,22176
This sub is growing INSANELY fast What should we do to celebrate 20000 subscribers,23537
i remember about the story of Titanic an foreign boy and an filipinaamerican girl in a cabin playing ball near the captain maneuver wheel,32066
What's the difference between cancer and feminism Ha Nothing,26935
You should have just put the money on the counter and walked out with your drink,30280
I used to be so introverted and now it's like fucking hell Cade stop talking,12373
This ramp at Mania has to be about 70 yards minimum Goldberg is gonna be blown up before he even gets to Brock,23515
Turing test Failed Not sexist but America will not be taken seriously if we have Hillary Clinton becomes president,23945
I don't think black people should be allowed to use the word n,10332
Remember when Spain was just a place we could go on holiday These fascists are literally fucking people's lives up with divide and conquer,20049
If I go to eat somewhere and there are a bunch of fat people in line I leave I just lose my appetite,13742
We are more likely to attribute good outcomes to our action and blame bad ones on unforeseen circumstances,24395
Using the most accurate metal detector in the world this afternoon I found some steel cable embedded in a maple tree,24135
i asked my mom to take me to vegas to meet kylie and she said YES buts it's the day before our party,31803
PostCharlottesville left has massively shifted Overton Window Trump signs condemnation of white supremists Massive Google demonetization Daily Stormer banned Altright driven from public square Emboldened left now going after moderate centerright Zionists like Ben Shapiro Bannon gone,19060
Wish I could sleep but I keep having fucked up dreams,29340
So basically I'm fucked for this Chem exam tomorrow,20882
Gab just told me abt his plan to surprise me and bring me to Coldplay's concert tom but my measles had to fucking happen,7700
it's not freedom of speech if your filthy words are dictating what a woman can and can't do with her body fuck outta here,32480
April fools When its april 2nd and your girlfriend is still pregnant,4511
774627 But speak is not this the day That should give answer of her choice AMNDBots,2673
What's the worst thing about oral sex Putting the nappy back on afterwards,27123
I hate niggas that will not admitt they're wrong,10777
Almost got caught fucking this girl Good thing I left the orphanage quick enough,4062
FUCK YOU ARIANA U ARE UGLY ASS LadyGaga ShesTheOne,7112
Suicide joke What is the difference between Kate Spade and you None you are both dead on the inside,21561
When you enrich Uranium One what results is 100 Pure PrisonGrade Clintonium,27940
I'm with 3 bitches amp 2 of em mix,13452
I believe that deserves the itgetsworseSHOW because who doesn't want a show about a fat bisexual person I know I do,9951
yahoocomnewspalestinianleadersurgeplosuspendrecognitionisrael211606564html Trump also infuriated the Palestinians by refusing to commit to the idea of an independent Palestinian state and recently threatened to cut hundreds of millions of dollars in US aid,35187
I like my women like I like my chicken Nicecrispyyoungand dead,11458
Haven't read her fic either I don't make it a habit of reading people who are PROUD of being anti cc Get yourselves away from me,731
this was the worst night of my lifenow into those fucking dizzy feelin,33757
What's the hardest part about fucking a vegetable Getting her fat ass back in the wheel chair,27042
All textures welcomewe can fix that,3993
Someone asked me what is the largest export from India Apparently rComedyCemetery material is not the right answer,21214
Who lives in a pineapple under the sea Malaysia Airlines Flight 370,28256
Sooooooooooooooooooooo fucking bloweddddddddd bruhhh I can't,21327
WOW what a day so far Thanks to everyone who came to Bb so far today We are looking forward to another busy supper,24230
If you're an instrumental musician and you want your music featured on our podcast let us know we have no cash will absolutely give you so many shoutouts and liner notes citations,14414
I've heard a hitler joke which i didnt laugh and when look around every jewish was dead,13529
what do you call a french suicide bomber french fries,34382
You know what the worst part of loosing a young child is Child sized caskets are way more expensive than you'd think considering they use less materials,30163
